Time_stamp,id_robot,Avenue,Street,Beepers,accion
24/05/11 14:18:56,0,38,16,0,Me muevo a la mina 
24/05/11 14:18:56,1,29,14,0,Me muevo a la mina 
24/05/11 14:18:56,0,28,14,0,Me muevo a la mina 
24/05/11 14:18:56,0,18,12,0,Me muevo a la mina 
24/05/11 14:18:56,1,19,12,0,Me muevo a la mina 
24/05/11 14:18:56,1,39,16,0,Me muevo a la mina 
24/05/11 14:18:56,0,38,16,0,Esperando por la salida de los mineros y trenes 
24/05/11 14:18:56,1,19,12,0,Empiezo ejecución 
24/05/11 14:18:56,1,39,16,0,Esperando por la salida de los mineros y trenes 
24/05/11 14:18:56,0,18,12,0,Empiezo ejecución 
24/05/11 14:18:56,0,28,14,0,Esperando por la salida de todos los mineros 
24/05/11 14:18:56,1,29,14,0,Esperando por la salida de todos los mineros 
24/05/11 14:18:58,0,28,14,0,Empiezo ejecución 
24/05/11 14:18:58,1,29,14,0,Empiezo ejecución 
24/05/11 14:19:01,0,11,1,0,En punto de espera de extractor 
24/05/11 14:19:02,0,38,16,0,Empiezo ejecución 
24/05/11 14:19:02,1,39,16,0,Empiezo ejecución 
24/05/11 14:19:03,1,11,1,0,En punto de espera de extractor 
24/05/11 14:19:09,0,31,8,0,Espero si puedo entrar a la mina 
24/05/11 14:19:11,0,21,1,0,En punto de espera de extractor 
24/05/11 14:19:12,0,18,11,0,Me muevo a la mina 
24/05/11 14:19:13,1,31,8,0,Espero si puedo entrar a la mina 
24/05/11 14:19:13,1,18,11,0,Me muevo a la mina 
24/05/11 14:19:13,1,21,1,0,En punto de espera de extractor 
24/05/11 14:19:15,0,31,1,0,En punto de espera de extractor 
24/05/11 14:19:15,0,31,1,0,En punto de espera por beepers 
24/05/11 14:19:16,0,114,11,0,Me muevo a la mina 
24/05/11 14:19:16,0,114,11,0,Me muevo a la mina 
24/05/11 14:19:17,1,114,10,0,Me muevo a la mina 
24/05/11 14:19:18,0,212,11,0,Me muevo a la mina 
24/05/11 14:19:27,0,114,11,0,Me muevo a la mina 
24/05/11 14:19:27,0,113,11,0,Me muevo a la mina 
24/05/11 14:19:27,0,113,11,0,Me muevo a la mina 
24/05/11 14:19:28,1,114,11,5,Me muevo a la mina 
24/05/11 14:19:33,0,113,11,50,Me muevo a la mina 
24/05/11 14:19:33,0,113,11,50,Me muevo a la mina 
24/05/11 14:19:39,1,114,11,50,Me muevo a la mina 
24/05/11 14:19:39,1,113,11,50,Me muevo a la mina 
24/05/11 14:19:39,1,113,11,50,Me muevo a la mina 
24/05/11 14:19:40,0,114,11,56,Me muevo a la mina 
24/05/11 14:19:45,1,113,11,100,Me muevo a la mina 
24/05/11 14:19:45,1,113,11,100,Me muevo a la mina 
24/05/11 14:19:51,0,114,11,100,Me muevo a la mina 
24/05/11 14:19:51,0,113,11,100,Me muevo a la mina 
24/05/11 14:19:51,0,113,11,100,Me muevo a la mina 
24/05/11 14:19:52,1,114,11,106,Me muevo a la mina 
24/05/11 14:19:57,0,113,11,150,Me muevo a la mina 
24/05/11 14:19:57,0,113,11,150,Me muevo a la mina 
24/05/11 14:19:57,0,213,11,150,Me muevo a la mina 
24/05/11 14:19:57,1,212,11,150,Me muevo a la mina 
24/05/11 14:19:57,0,213,11,150,Me muevo a la mina 
24/05/11 14:20:03,1,114,11,125,Me muevo a la mina 
24/05/11 14:20:24,0,213,11,30,Me muevo a la mina 
24/05/11 14:20:24,1,113,11,30,Me muevo a la mina 
24/05/11 14:20:24,1,113,11,30,Me muevo a la mina 
24/05/11 14:20:25,0,114,11,37,Me muevo a la mina 
24/05/11 14:20:27,0,31,1,53,Me muevo a la mina 
24/05/11 14:20:27,0,23,1,53,Me muevo a la mina 
24/05/11 14:20:29,1,113,11,80,Me muevo a la mina 
24/05/11 14:20:29,1,113,11,80,Me muevo a la mina 
24/05/11 14:20:36,0,114,11,80,Me muevo a la mina 
24/05/11 14:20:36,0,113,11,80,Me muevo a la mina 
24/05/11 14:20:36,0,113,11,80,Me muevo a la mina 
24/05/11 14:20:37,1,114,11,86,Me muevo a la mina 
24/05/11 14:20:40,0,23,1,114,Me muevo a la mina 
24/05/11 14:20:40,0,33,1,118,Me muevo a la mina 
24/05/11 14:20:40,0,33,1,119,Me muevo a la mina 
24/05/11 14:20:41,0,113,11,130,Me muevo a la mina 
24/05/11 14:20:41,0,113,11,130,Me muevo a la mina 
24/05/11 14:20:42,1,213,11,130,Me muevo a la mina 
24/05/11 14:20:42,1,213,11,130,Me muevo a la mina 
24/05/11 14:20:42,0,212,11,128,Me muevo a la mina 
24/05/11 14:20:48,1,114,11,104,Me muevo a la mina 
24/05/11 14:20:52,0,33,1,86,Me muevo a la mina 
24/05/11 14:20:52,0,33,1,86,Me muevo a la mina 
24/05/11 14:20:54,0,37,8,74,Me muevo a la mina 
24/05/11 14:20:55,0,37,7,70,Me muevo a la mina 
24/05/11 14:20:56,1,31,1,65,En punto de espera de extractor 
24/05/11 14:20:56,1,31,1,65,Me muevo a la mina 
24/05/11 14:20:56,1,33,1,64,Me muevo a la mina 
24/05/11 14:20:57,1,33,1,63,Me muevo a la mina 
24/05/11 14:21:18,1,33,1,12,Me muevo a la mina 
24/05/11 14:21:18,1,33,1,12,Me muevo a la mina 
24/05/11 14:21:18,1,213,11,10,Me muevo a la mina 
24/05/11 14:21:19,1,113,11,10,Me muevo a la mina 
24/05/11 14:21:19,1,113,11,10,Me muevo a la mina 
24/05/11 14:21:20,0,114,11,17,Me muevo a la mina 
24/05/11 14:21:21,1,37,8,23,Me muevo a la mina 
24/05/11 14:21:21,0,33,7,23,Me muevo a la mina 
24/05/11 14:21:22,1,37,7,31,Me muevo a la mina 
24/05/11 14:21:23,1,23,1,41,Me muevo a la mina 
24/05/11 14:21:25,1,113,11,60,Me muevo a la mina 
24/05/11 14:21:25,1,113,11,60,Me muevo a la mina 
24/05/11 14:21:31,0,114,11,60,Me muevo a la mina 
24/05/11 14:21:31,0,113,11,60,Me muevo a la mina 
24/05/11 14:21:31,0,113,11,60,Me muevo a la mina 
24/05/11 14:21:32,1,114,11,65,Me muevo a la mina 
24/05/11 14:21:36,1,23,1,101,Me muevo a la mina 
24/05/11 14:21:36,0,33,1,105,Me muevo a la mina 
24/05/11 14:21:37,0,113,11,110,Me muevo a la mina 
24/05/11 14:21:37,0,113,11,110,Me muevo a la mina 
24/05/11 14:21:43,1,114,11,110,Me muevo a la mina 
24/05/11 14:21:43,1,113,11,110,Me muevo a la mina 
24/05/11 14:21:43,1,113,11,110,Me muevo a la mina 
24/05/11 14:21:44,0,114,11,116,Me muevo a la mina 
24/05/11 14:21:47,0,33,1,149,Me muevo a la mina 
24/05/11 14:21:47,0,33,1,149,Me muevo a la mina 
24/05/11 14:21:49,1,113,11,160,Me muevo a la mina 
24/05/11 14:21:49,1,113,11,160,Me muevo a la mina 
24/05/11 14:21:49,0,213,11,160,Me muevo a la mina 
24/05/11 14:21:49,1,212,11,160,Me muevo a la mina 
24/05/11 14:21:50,0,37,8,154,Me muevo a la mina 
24/05/11 14:21:50,1,33,7,154,Me muevo a la mina 
24/05/11 14:21:51,0,37,7,151,Me muevo a la mina 
24/05/11 14:21:52,1,33,1,144,Me muevo a la mina 
24/05/11 14:21:55,0,114,11,134,Me muevo a la mina 
24/05/11 14:22:04,1,33,1,93,Me muevo a la mina 
24/05/11 14:22:04,1,33,1,93,Me muevo a la mina 
24/05/11 14:22:17,1,37,8,80,Me muevo a la mina 
24/05/11 14:22:17,0,33,7,80,Me muevo a la mina 
24/05/11 14:22:18,1,37,7,77,Me muevo a la mina 
